property,max_accuracy
75,0.8737875848690592
7,0.8709990300678953
116,0.8709990300678953
26,0.8700290979631425
23,0.8699078564500485
54,0.8694228903976722
16,0.8688166828322017
38,0.8672405431619786
125,0.8672405431619786
73,0.8672405431619786
19,0.8669980601357905
119,0.8666343355965083
113,0.866270611057226
35,0.866270611057226
108,0.8659068865179438
110,0.864694471387003
34,0.8642095053346266
11,0.8636032977691561
74,0.8634820562560621
37,0.863360814742968
109,0.8632395732298739
111,0.8627546071774975
91,0.8627546071774975
43,0.8626333656644035
58,0.8623908826382153
8,0.8621483996120272
121,0.8621483996120272
59,0.861905916585839
92,0.861905916585839
4,0.8617846750727449
114,0.8614209505334627
29,0.8611784675072744
18,0.8609359844810863
67,0.8608147429679922
40,0.8605722599418041
33,0.8602085354025218
10,0.8600872938894277
90,0.8600872938894277
118,0.8598448108632396
22,0.8596023278370514
5,0.8596023278370514
101,0.8594810863239574
104,0.8593598448108632
120,0.8591173617846751
96,0.8581474296799224
98,0.8580261881668283
122,0.8579049466537343
3,0.8576624636275461
71,0.8575412221144519
55,0.8572987390882638
21,0.8572987390882638
24,0.8572987390882638
115,0.8570562560620757
112,0.8569350145489816
87,0.8569350145489816
60,0.8565712900096993
65,0.8565712900096993
47,0.8564500484966052
103,0.8557225994180407
48,0.8556013579049466
56,0.8545101842870999
36,0.8541464597478177
20,0.8541464597478177
50,0.8539039767216294
49,0.8537827352085354
86,0.8537827352085354
41,0.8536614936954413
66,0.8536614936954413
64,0.8532977691561591
68,0.8532977691561591
39,0.8532977691561591
46,0.853055286129971
12,0.8526915615906887
13,0.8522065955383124
25,0.8520853540252182
94,0.8519641125121241
51,0.851721629485936
53,0.851721629485936
1,0.851721629485936
99,0.8513579049466538
72,0.8505092143549952
84,0.850266731328807
42,0.8497817652764307
123,0.8497817652764307
14,0.8491755577109602
52,0.8489330746847721
107,0.8489330746847721
45,0.8482056256062076
44,0.8478419010669254
102,0.8477206595538312
2,0.847478176527643
70,0.8472356935014549
88,0.8472356935014549
57,0.8471144519883608
17,0.8457807953443259
62,0.8451745877788555
106,0.8440834141610087
63,0.8437196896217265
100,0.8419010669253152
31,0.8417798254122212
28,0.8402036857419981
124,0.8354752667313288
15,0.832807953443259
117,0.8315955383123181
6,0.8291707080504365
61,0.8274733268671193
69,0.8243210475266731
76,0.8119544131910766
27,0.8103782735208536
93,0.809529582929195
85,0.7995877788554802
89,0.7993452958292919
83,0.7971629485935985
105,0.7952230843840931
97,0.7929194956353055
82,0.7907371483996121
30,0.7740058195926285
79,0.748666343355965
32,0.7472114451988361
80,0.7303588748787585
78,0.7204170708050437
77,0.7156886517943744
95,0.7068380213385063
9,0.7013821532492726
81,0.6968962172647915
