property,classifier,accuracy,precision,recall,f1
1,SVM,0.6708292919495635,0.6798570334439622,0.6457322987390882,0.6623554284292998
1,Random Forest,0.7960717749757517,0.8204724409448819,0.7580019398642095,0.7880010083186287
1,Logistic Regression,0.6427012609117362,0.6470147389457906,0.628031037827352,0.6373815676141258
1,Naive Bayes,0.6560378273520854,0.6606741573033708,0.6416100872938895,0.6510025833435847
1,K-NN,0.5665615906886518,0.5521962350256703,0.7041707080504365,0.6189917936694022
1,Gradient Boosting,0.8153491755577109,0.8288242730720606,0.7948593598448108,0.8114865701200643
1,AdaBoost,0.7938894277400582,0.8011928429423459,0.7817652764306499,0.7913598429062346
1,Decision Tree,0.7211445198836082,0.7152974504249292,0.7347235693501455,0.7248803827751196
1,Perceptron,0.5324927255092143,0.8418367346938775,0.08001939864209505,0.14614703277236493
1,SGD,0.5855965082444229,0.7971380471380471,0.229631425800194,0.3565512048192771
1,Bagging,0.8193501454898157,0.857686040195546,0.7657613967022309,0.8091211888291058
1,Extra Trees,0.728176527643065,0.7455636743215032,0.6927740058195926,0.7182001005530417
1,CatBoost,0.851721629485936,0.8623532350736948,0.8370514064015518,0.8495139657930355
1,LightGBM,0.8450533462657615,0.8608012170385395,0.8232298739088264,0.8415964303420922
1,XGBoost,0.8438409311348206,0.8555667001003009,0.8273520853540253,0.8412228796844181
2,SVM,0.6619786614936954,0.6503150315031503,0.7007759456838021,0.6746031746031746
2,Random Forest,0.7774005819592629,0.7948453608247422,0.7478176527643065,0.7706146926536732
2,Logistic Regression,0.5831716779825412,0.5823727185398655,0.5880213385063046,0.5851833976833977
2,Naive Bayes,0.6519156159068865,0.6439237307603951,0.6796799224054316,0.6613188628052377
2,K-NN,0.5060620756547042,0.5031179845347967,0.978176527643065,0.6644704332070499
2,Gradient Boosting,0.8040737148399612,0.8045167557066537,0.8033462657613967,0.8039310846881825
2,AdaBoost,0.7942531522793405,0.7917768694397692,0.7984966052376333,0.7951225401424604
2,Decision Tree,0.7207807953443259,0.7161167813909328,0.7315712900096993,0.7237615449202351
2,Perceptron,0.49745392822502427,0.18181818181818182,0.001454898157129001,0.0028866971373586723
2,SGD,0.5,0.5,1.0,0.6666666666666666
2,Bagging,0.8153491755577109,0.857574924388232,0.7563045586808923,0.8037624017523515
2,Extra Trees,0.7524248302618817,0.754150390625,0.7490300678952473,0.7515815085158151
2,CatBoost,0.847478176527643,0.8575349301397206,0.8334141610087293,0.8453025086079685
2,LightGBM,0.8374151309408342,0.8543417366946778,0.8135305528612997,0.8334368401440815
2,XGBoost,0.8427497575169738,0.8525816911948116,0.8288069835111542,0.8405262510758638
3,SVM,0.7393307468477207,0.7288961038961039,0.7621241513094084,0.7451398767188241
3,Random Forest,0.7953443258971872,0.7845794392523364,0.8142580019398642,0.7991432651118515
3,Logistic Regression,0.6814985451018428,0.6769085322618766,0.6944713870029098,0.6855774985038899
3,Naive Bayes,0.6197866149369544,0.6162352941176471,0.6350630455868089,0.6255075232863625
3,K-NN,0.6083899127061105,0.6571729957805907,0.4532007759456838,0.5364523536165328
3,Gradient Boosting,0.8222599418040737,0.840594566888775,0.7953443258971872,0.8173436331921256
3,AdaBoost,0.7954655674102813,0.8016835850458034,0.7851600387972842,0.793335783412961
3,Decision Tree,0.7331474296799224,0.7324147933284989,0.7347235693501455,0.7335673647258201
3,Perceptron,0.5026673132880698,0.9230769230769231,0.005819592628516004,0.011566265060240964
3,SGD,0.6513094083414162,0.6020942408376964,0.8923375363724539,0.719030871434154
3,Bagging,0.824078564500485,0.8576398180358576,0.7771580989330746,0.8154178857651698
3,Extra Trees,0.753031037827352,0.7511432009626956,0.7567895247332687,0.7539557917622901
3,CatBoost,0.8576624636275461,0.8683816183816184,0.843113482056256,0.8555610236220472
3,LightGBM,0.8477206595538312,0.8613911290322581,0.8288069835111542,0.8447849728126545
3,XGBoost,0.8501454898157129,0.8574257425742574,0.8399612027158099,0.8486036256736894
4,SVM,0.795101842870999,0.8169270833333333,0.7606692531522793,0.7877950778503264
4,Random Forest,0.8044374393792435,0.8220056424724288,0.7771580989330746,0.7989530100959741
4,Logistic Regression,0.7816440349175557,0.8009847110650428,0.7495150339476236,0.7743955906300889
4,Naive Bayes,0.6670708050436469,0.6731155778894472,0.649612027158099,0.6611549851924975
4,K-NN,0.7118089233753637,0.7889513728084684,0.5783220174587779,0.6674129005176997
4,Gradient Boosting,0.812439379243453,0.8365108383389919,0.7766731328806984,0.8054822079718346
4,AdaBoost,0.7885548011639185,0.8052847614161108,0.7611542192046556,0.7825978558962852
4,Decision Tree,0.7315712900096993,0.73056494447127,0.7337536372453928,0.7321558190176627
4,Perceptron,0.739694471387003,0.704616021527634,0.8254122211445198,0.7602456728084869
4,SGD,0.774612027158099,0.8113830079736046,0.7155674102812803,0.7604690117252931
